OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19378476,-59.64179968,32,-1.3,91.5,-90
13.19378496,-59.64180143,32,-1.6,91.5,-90
13.19378502,-59.64180342,32,-0.9,91.5,-90
13.19378517,-59.64180522,32,0,91.4,-90
13.19378519,-59.64180717,32,1.1,91.4,-90
13.19378531,-59.64180924,32,2.8,91.3,-90
13.19378537,-59.64181101,32,4.6,91.2,-90
13.19378545,-59.64181298,32,6.1,91,-90
13.19378542,-59.64181524,32,8,91,-90
13.19378551,-59.64181791,32,11.1,91,-90
13.19378573,-59.64182057,32,14.5,91.2,-90
13.19378588,-59.6418235,32,15.2,91.1,-90
13.19378606,-59.641827,32,15.7,91.3,-90
13.19378621,-59.64182999,32,15.3,91.2,-90
13.19378655,-59.64183378,32,15.1,91.1,-90
13.19378672,-59.64183696,32,16.6,91,-90
13.19378684,-59.64184107,32,16.3,91.5,-90
13.19378706,-59.64184547,32,14.5,91.5,-90
13.19378723,-59.64184978,32,13.9,91.2,-90
13.19378742,-59.64185407,32,13.1,91.3,-90
13.19378768,-59.64185964,32,12.5,91.4,-90
13.19378789,-59.64186422,32,12,91.3,-90
13.19378802,-59.64186852,32,10.3,91.3,-90
13.19378828,-59.64187453,32,8.2,91.5,-90
13.19378856,-59.64187891,32,5.2,91.4,-89.7
13.19378879,-59.64188389,32,0.1,91.4,-89
13.19378922,-59.64188835,32,-5,91.3,-88
13.19378948,-59.64189333,32,-6.8,91.3,-86.9
13.19379006,-59.64189826,32,-21.2,91.1,-85.7
13.1937903,-59.64190274,32,-28.2,91.4,-84.5
13.19379033,-59.64190594,32,-27.8,91.7,-83.5
13.19379046,-59.64190921,32,-26.9,91.6,-82.9
13.19379058,-59.64191115,32,-26.3,91.5,-82.6
13.19379067,-59.6419131,32,-25.8,91.6,-82.8
13.19379046,-59.64191456,32,-24.1,91.6,-83.6
13.19379052,-59.64191598,32,-20.8,91.5,-84.7
13.19379028,-59.64191711,32,-16.8,91.5,-85.9
13.19379021,-59.64191783,32,-14.1,91.6,-87.1
13.19379014,-59.64191834,32,-11.2,91.4,-88.3
13.19379007,-59.64191873,32,-9.2,91.3,-89.5
13.19379013,-59.64191904,32,-7.7,91.5,-90
13.19379012,-59.64191919,32,-6.7,91.5,-90
13.19378995,-59.64191945,32,-6.4,91.6,-89.7
13.19378986,-59.64191954,32,-6.7,91.5,-88.9
13.19379004,-59.64191979,32,-6.3,91.5,-87.9
13.19379003,-59.64191981,32,-5.2,91.5,-86.7
13.19378994,-59.64192005,32,-3.3,91.4,-85.5
13.19378994,-59.64192008,32,-4.1,91.3,-84.2
13.19378965,-59.64192025,32,-5.6,91.5,-83
13.19378957,-59.64192026,32,-5.4,91.4,-81.7
13.19378973,-59.64192034,32,-3.8,91.3,-80.5
13.19378973,-59.64192034,32,-2.9,91.4,-79.2
13.19378966,-59.64192059,32,-4.1,91.3,-78
13.19378967,-59.64192064,32,-5.3,91.4,-76.7
13.1937898,-59.64192069,32,-5,91.5,-75.5
13.19378984,-59.64192073,32,-4.9,91.5,-74.2
13.19378982,-59.64192071,32,-5.5,91.6,-73
13.1937898,-59.6419207,32,-6.5,91.4,-71.7
13.19378986,-59.6419208,32,-4.7,91.2,-70.5
13.19378989,-59.64192075,32,-1.2,91.8,-69.2
13.19378995,-59.64192102,32,-3.3,91.8,-68
13.19378993,-59.64192112,32,-8.2,91.5,-66.7
13.1937898,-59.64192101,32,-8,91.4,-65.5
13.19378978,-59.64192093,32,-4.4,91.8,-64.2
13.19378987,-59.64192092,32,-1.8,91.8,-63
13.19378986,-59.64192096,32,-2.5,91.6,-61.7
13.19378984,-59.64192097,32,-4.3,91.5,-60.5
13.19378979,-59.64192094,32,-4.2,91.4,-59.2
13.19378969,-59.64192098,33,-3.4,91.5,-58
13.19378965,-59.64192096,33,-3.9,91.6,-56.7
13.19378959,-59.64192121,33,-4.1,91.6,-55.5
13.19378965,-59.64192099,33,-4.3,91.5,-54.2
13.19378966,-59.64192095,33,-5,91.6,-53
13.19378967,-59.64192091,32,-4.7,91.6,-51.7
13.19378971,-59.64192113,33,-3.7,91.6,-50.5
13.19378972,-59.64192114,32,-4.4,91.5,-49.2
13.19378983,-59.64192117,33,-4.9,91.6,-48
13.19378985,-59.64192118,33,-4.8,91.6,-46.7
